state,year,quater,district,registered_user,app_opening
andaman & nicobar islands,2018,q1,north and middle andaman ,632,0
andaman & nicobar islands,2018,q1,south andaman ,5846,0
andaman & nicobar islands,2018,q1,nicobar ,262,0
andaman & nicobar islands,2018,q2,north and middle andaman ,911,0
andaman & nicobar islands,2018,q2,south andaman ,8143,0
andaman & nicobar islands,2018,q2,nicobar ,351,0
andaman & nicobar islands,2018,q3,north and middle andaman ,1208,0
andaman & nicobar islands,2018,q3,south andaman ,10474,0
andaman & nicobar islands,2018,q3,nicobar ,467,0
andaman & nicobar islands,2018,q4,north and middle andaman ,1553,0
andaman & nicobar islands,2018,q4,south andaman ,13133,0
andaman & nicobar islands,2018,q4,nicobar ,536,0
andaman & nicobar islands,2019,q1,north and middle andaman ,2013,0
andaman & nicobar islands,2019,q1,south andaman ,15961,0
andaman & nicobar islands,2019,q1,nicobar ,622,0
andaman & nicobar islands,2019,q2,north and middle andaman ,2417,6118
andaman & nicobar islands,2019,q2,south andaman ,18621,43569
andaman & nicobar islands,2019,q2,nicobar ,693,2953
andaman & nicobar islands,2019,q3,north and middle andaman ,2662,22064
andaman & nicobar islands,2019,q3,south andaman ,20518,138190
andaman & nicobar islands,2019,q3,nicobar ,751,10853
andaman & nicobar islands,2019,q4,north and middle andaman ,2955,26253
andaman & nicobar islands,2019,q4,south andaman ,22202,139646
andaman & nicobar islands,2019,q4,nicobar ,803,11113
andaman & nicobar islands,2020,q1,north and middle andaman ,3315,30444
andaman & nicobar islands,2020,q1,south andaman ,24174,151529
andaman & nicobar islands,2020,q1,nicobar ,879,11613
andaman & nicobar islands,2020,q2,north and middle andaman ,4100,56992
andaman & nicobar islands,2020,q2,south andaman ,27626,231071
andaman & nicobar islands,2020,q2,nicobar ,984,17009
andaman & nicobar islands,2020,q3,north and middle andaman ,5355,76553
andaman & nicobar islands,2020,q3,south andaman ,34833,417785
andaman & nicobar islands,2020,q3,nicobar ,1147,21227
andaman & nicobar islands,2020,q4,north and middle andaman ,7076,125915
andaman & nicobar islands,2020,q4,south andaman ,43908,725321
andaman & nicobar islands,2020,q4,nicobar ,1412,35972
andaman & nicobar islands,2021,q1,north and middle andaman ,7833,121680
andaman & nicobar islands,2021,q1,south andaman ,48352,837589
andaman & nicobar islands,2021,q1,nicobar ,1573,45067
andaman & nicobar islands,2021,q2,north and middle andaman ,8493,596182
andaman & nicobar islands,2021,q2,south andaman ,51903,1270226
andaman & nicobar islands,2021,q2,nicobar ,1699,381815
andaman & nicobar islands,2021,q3,north and middle andaman ,9263,759314
andaman & nicobar islands,2021,q3,south andaman ,55873,1771107
andaman & nicobar islands,2021,q3,nicobar ,1846,591204
andaman & nicobar islands,2021,q4,north and middle andaman ,10002,171921
andaman & nicobar islands,2021,q4,south andaman ,59807,1863037
andaman & nicobar islands,2021,q4,nicobar ,1971,77952
andaman & nicobar islands,2022,q1,north and middle andaman ,10720,904869
andaman & nicobar islands,2022,q1,south andaman ,63487,2368756
andaman & nicobar islands,2022,q1,nicobar ,2081,573782
andaman & nicobar islands,2022,q2,north and middle andaman ,11379,963824
andaman & nicobar islands,2022,q2,south andaman ,66959,3404740
andaman & nicobar islands,2022,q2,nicobar ,2192,811449
andaman & nicobar islands,2022,q3,north and middle andaman ,11897,1176567
andaman & nicobar islands,2022,q3,south andaman ,70445,3607286
andaman & nicobar islands,2022,q3,nicobar ,2300,1284501
andaman & nicobar islands,2022,q4,north and middle andaman ,12361,313502
andaman & nicobar islands,2022,q4,south andaman ,73692,3881359
andaman & nicobar islands,2022,q4,nicobar ,2389,159232
andhra pradesh,2018,q1,east godavari ,350356,0
andhra pradesh,2018,q1,srikakulam ,143839,0
andhra pradesh,2018,q1,visakhapatnam ,497187,0
andhra pradesh,2018,q1,prakasam ,189949,0
andhra pradesh,2018,q1,anantapur ,241192,0
andhra pradesh,2018,q1,kurnool ,240133,0
andhra pradesh,2018,q1,guntur ,317065,0
andhra pradesh,2018,q1,krishna ,323673,0
andhra pradesh,2018,q1,spsr nellore ,194475,0
andhra pradesh,2018,q1,vizianagaram ,128905,0
andhra pradesh,2018,q1,ysr ,186800,0
andhra pradesh,2018,q1,west godavari ,213335,0
andhra pradesh,2018,q1,chittoor ,309541,0
andhra pradesh,2018,q2,east godavari ,454398,0
andhra pradesh,2018,q2,srikakulam ,186913,0
andhra pradesh,2018,q2,visakhapatnam ,636052,0
andhra pradesh,2018,q2,prakasam ,253458,0
andhra pradesh,2018,q2,anantapur ,326383,0
andhra pradesh,2018,q2,kurnool ,319313,0
andhra pradesh,2018,q2,guntur ,420326,0
andhra pradesh,2018,q2,krishna ,431965,0
andhra pradesh,2018,q2,spsr nellore ,261049,0
andhra pradesh,2018,q2,vizianagaram ,167327,0
andhra pradesh,2018,q2,ysr ,248657,0
andhra pradesh,2018,q2,west godavari ,282393,0
andhra pradesh,2018,q2,chittoor ,414306,0
andhra pradesh,2018,q3,east godavari ,558982,0
andhra pradesh,2018,q3,srikakulam ,228456,0
andhra pradesh,2018,q3,visakhapatnam ,769096,0
andhra pradesh,2018,q3,prakasam ,314899,0
andhra pradesh,2018,q3,anantapur ,405855,0
andhra pradesh,2018,q3,kurnool ,394311,0
andhra pradesh,2018,q3,guntur ,518931,0
andhra pradesh,2018,q3,krishna ,537086,0
andhra pradesh,2018,q3,spsr nellore ,322446,0
andhra pradesh,2018,q3,vizianagaram ,203655,0
andhra pradesh,2018,q3,ysr ,308391,0
andhra pradesh,2018,q3,west godavari ,349782,0
andhra pradesh,2018,q3,chittoor ,515727,0
andhra pradesh,2018,q4,east godavari ,694455,0
andhra pradesh,2018,q4,srikakulam ,284874,0
andhra pradesh,2018,q4,visakhapatnam ,978288,0
andhra pradesh,2018,q4,prakasam ,394962,0
andhra pradesh,2018,q4,anantapur ,510892,0
andhra pradesh,2018,q4,kurnool ,498582,0
andhra pradesh,2018,q4,guntur ,659552,0
andhra pradesh,2018,q4,krishna ,682479,0
andhra pradesh,2018,q4,spsr nellore ,407495,0
andhra pradesh,2018,q4,vizianagaram ,257824,0
andhra pradesh,2018,q4,ysr ,387058,0
andhra pradesh,2018,q4,west godavari ,435668,0
andhra pradesh,2018,q4,chittoor ,665280,0
andhra pradesh,2019,q1,east godavari ,839277,0
andhra pradesh,2019,q1,srikakulam ,345775,0
andhra pradesh,2019,q1,visakhapatnam ,1174517,0
andhra pradesh,2019,q1,prakasam ,474260,0
andhra pradesh,2019,q1,anantapur ,612162,0
andhra pradesh,2019,q1,kurnool ,599422,0
andhra pradesh,2019,q1,guntur ,802394,0
andhra pradesh,2019,q1,krishna ,833694,0
andhra pradesh,2019,q1,spsr nellore ,491908,0
andhra pradesh,2019,q1,vizianagaram ,313334,0
andhra pradesh,2019,q1,ysr ,460590,0
andhra pradesh,2019,q1,west godavari ,523372,0
andhra pradesh,2019,q1,chittoor ,812314,0
andhra pradesh,2019,q2,east godavari ,945181,7156762
andhra pradesh,2019,q2,srikakulam ,392764,3230330
andhra pradesh,2019,q2,visakhapatnam ,1318740,13681907
andhra pradesh,2019,q2,prakasam ,539462,4488365
andhra pradesh,2019,q2,anantapur ,695114,6056591
andhra pradesh,2019,q2,kurnool ,680118,6240480
andhra pradesh,2019,q2,guntur ,915256,7268875
andhra pradesh,2019,q2,krishna ,952300,7822632
andhra pradesh,2019,q2,spsr nellore ,558303,4774473
andhra pradesh,2019,q2,vizianagaram ,355058,3541678
andhra pradesh,2019,q2,ysr ,519031,4345848
andhra pradesh,2019,q2,west godavari ,592185,3853094
andhra pradesh,2019,q2,chittoor ,925491,8914216
andhra pradesh,2019,q3,east godavari ,1057167,28275322
andhra pradesh,2019,q3,srikakulam ,437939,11813195
andhra pradesh,2019,q3,visakhapatnam ,1460464,54836001
andhra pradesh,2019,q3,prakasam ,598568,16267041
andhra pradesh,2019,q3,anantapur ,773656,22845084
andhra pradesh,2019,q3,kurnool ,755024,22827473
andhra pradesh,2019,q3,guntur ,1026418,28477132
andhra pradesh,2019,q3,krishna ,1066546,30077671
andhra pradesh,2019,q3,spsr nellore ,619592,17768733
andhra pradesh,2019,q3,vizianagaram ,394375,13065845
andhra pradesh,2019,q3,ysr ,574109,15833900
andhra pradesh,2019,q3,west godavari ,662102,14227407
