state,year,quater,district,transaction_count,transaction_amount
andaman & nicobar islands,2018,q1,south andaman,5688,12560249.343665812
andaman & nicobar islands,2018,q1,nicobar,528,1139848.801225994
andaman & nicobar islands,2018,q1,north and middle andaman,442,931663.0770939873
andaman & nicobar islands,2018,q2,south andaman,9395,23948235.51634325
andaman & nicobar islands,2018,q2,nicobar,1120,3072436.9081196385
andaman & nicobar islands,2018,q2,north and middle andaman,825,1317863.0834906558
andaman & nicobar islands,2018,q3,south andaman,13511,44268112.46425246
andaman & nicobar islands,2018,q3,nicobar,1471,6387829.151558982
andaman & nicobar islands,2018,q3,north and middle andaman,1283,4901529.518499676
andaman & nicobar islands,2018,q4,south andaman,20136,75411840.8018554
andaman & nicobar islands,2018,q4,north and middle andaman,2137,7955635.917688001
andaman & nicobar islands,2018,q4,nicobar,1485,7180859.354911782
andaman & nicobar islands,2019,q1,south andaman,25683,85501972.38780196
andaman & nicobar islands,2019,q1,north and middle andaman,3264,9561708.736298349
andaman & nicobar islands,2019,q1,nicobar,1539,7236059.549389593
andaman & nicobar islands,2019,q2,south andaman,28490,102530955.71341258
andaman & nicobar islands,2019,q2,north and middle andaman,3371,8612103.13788812
andaman & nicobar islands,2019,q2,nicobar,1828,9111650.82436246
andaman & nicobar islands,2019,q3,south andaman,27421,91023888.32848613
andaman & nicobar islands,2019,q3,north and middle andaman,4049,11481466.283356791
andaman & nicobar islands,2019,q3,nicobar,2300,11566421.475451011
andaman & nicobar islands,2019,q4,south andaman,27843,110930312.20611623
andaman & nicobar islands,2019,q4,north and middle andaman,4716,13524056.784573946
andaman & nicobar islands,2019,q4,nicobar,2600,12384161.52668771
andaman & nicobar islands,2020,q1,south andaman,32713,134679396.90582758
andaman & nicobar islands,2020,q1,north and middle andaman,5674,14697371.617857102
andaman & nicobar islands,2020,q1,nicobar,2911,12099543.773590053
andaman & nicobar islands,2020,q2,south andaman,48088,132855778.74838585
andaman & nicobar islands,2020,q2,north and middle andaman,10979,22447714.061058953
andaman & nicobar islands,2020,q2,nicobar,3895,14341508.60470232
andaman & nicobar islands,2020,q3,south andaman,95323,282366109.20523936
andaman & nicobar islands,2020,q3,north and middle andaman,16747,33486883.37042556
andaman & nicobar islands,2020,q3,nicobar,5413,22166453.754695382
andaman & nicobar islands,2020,q4,south andaman,186494,523122462.883029
andaman & nicobar islands,2020,q4,north and middle andaman,29349,68941322.38839513
andaman & nicobar islands,2020,q4,nicobar,8688,35218871.04342848
andaman & nicobar islands,2021,q1,south andaman,207092,669604045.1248703
andaman & nicobar islands,2021,q1,north and middle andaman,27358,75027255.27919498
andaman & nicobar islands,2021,q1,nicobar,10302,39075266.9856904
andaman & nicobar islands,2021,q2,south andaman,286907,760893020.5704947
andaman & nicobar islands,2021,q2,north and middle andaman,39200,90233388.79463303
andaman & nicobar islands,2021,q2,nicobar,15307,48020606.74716838
andaman & nicobar islands,2021,q3,south andaman,382418,1116789010.6459613
andaman & nicobar islands,2021,q3,north and middle andaman,46592,118254865.82750683
andaman & nicobar islands,2021,q3,nicobar,20754,74980519.32813609
andaman & nicobar islands,2021,q4,south andaman,558571,1694794708.0093331
andaman & nicobar islands,2021,q4,north and middle andaman,53115,156486112.28732437
andaman & nicobar islands,2021,q4,nicobar,24437,81329281.0269996
andaman & nicobar islands,2022,q1,south andaman,705512,1872991195.902684
andaman & nicobar islands,2022,q1,north and middle andaman,60059,161624878.52274162
andaman & nicobar islands,2022,q1,nicobar,29177,94414127.64974089
andaman & nicobar islands,2022,q2,south andaman,954875,2357326563.362071
andaman & nicobar islands,2022,q2,north and middle andaman,72573,195693167.78757268
andaman & nicobar islands,2022,q2,nicobar,43769,132900618.93062323
andaman & nicobar islands,2022,q3,south andaman,1455255,2967719400.8499093
andaman & nicobar islands,2022,q3,north and middle andaman,79574,211581970.34202653
andaman & nicobar islands,2022,q3,nicobar,49550,131330400.94545083
andaman & nicobar islands,2022,q4,south andaman,1835592,3600887266.099448
andaman & nicobar islands,2022,q4,north and middle andaman,93297,241431284.35581034
andaman & nicobar islands,2022,q4,nicobar,58646,142355853.97352523
andhra pradesh,2018,q1,visakhapatnam,1256469,1749966196.5049949
andhra pradesh,2018,q1,east godavari,943935,1235785515.5997267
andhra pradesh,2018,q1,krishna,863935,1284255179.6156201
andhra pradesh,2018,q1,chittoor,830324,1009621878.0870512
andhra pradesh,2018,q1,guntur,815932,1108686589.0266826
andhra pradesh,2018,q1,kurnool,679623,764905298.7350456
andhra pradesh,2018,q1,anantapur,638664,788830646.0324218
andhra pradesh,2018,q1,west godavari,577090,853547668.7532666
andhra pradesh,2018,q1,prakasam,534757,748990775.8676486
andhra pradesh,2018,q1,spsr nellore,531612,676643237.8069417
andhra pradesh,2018,q2,visakhapatnam,1641192,2987853607.2939095
andhra pradesh,2018,q2,krishna,1224987,2448141593.4919834
andhra pradesh,2018,q2,east godavari,1221677,2168914928.4239016
andhra pradesh,2018,q2,chittoor,1185723,1990419125.8937118
andhra pradesh,2018,q2,guntur,1088101,2108475811.785997
andhra pradesh,2018,q2,kurnool,968439,1531888665.6843233
andhra pradesh,2018,q2,anantapur,937023,1690366079.0557928
andhra pradesh,2018,q2,west godavari,786033,1688025212.3045943
andhra pradesh,2018,q2,spsr nellore,780454,1542057934.0108962
andhra pradesh,2018,q2,prakasam,739991,1571167562.1276274
andhra pradesh,2018,q3,visakhapatnam,3394576,4821892253.393524
andhra pradesh,2018,q3,east godavari,3226907,3551247095.3074465
