state,pincode,year,quater,transaction_count,transaction_amount
andaman & nicobar islands,744101,2018,q1,1622,2769297.9039997994
andaman & nicobar islands,744103,2018,q1,1223,2238041.8716124697
andaman & nicobar islands,744102,2018,q1,969,3519059.937562449
andaman & nicobar islands,744105,2018,q1,685,1298560.9515503529
andaman & nicobar islands,744104,2018,q1,340,1039715.3111450541
andaman & nicobar islands,744107,2018,q1,302,556059.5308556345
andaman & nicobar islands,744301,2018,q1,283,445739.1633851439
andaman & nicobar islands,744112,2018,q1,269,333709.56700413954
andaman & nicobar islands,744202,2018,q1,193,238914.01667155625
andaman & nicobar islands,744302,2018,q1,168,547469.6509380838
andaman & nicobar islands,744101,2018,q2,2701,6310089.917084678
andaman & nicobar islands,744103,2018,q2,1965,4752146.698501162
andaman & nicobar islands,744102,2018,q2,1525,5810267.574788321
andaman & nicobar islands,744105,2018,q2,997,2200332.971862734
andaman & nicobar islands,744301,2018,q2,767,1953749.3787199226
andaman & nicobar islands,744104,2018,q2,659,1650346.1906506256
andaman & nicobar islands,744107,2018,q2,594,1601569.9821441039
andaman & nicobar islands,744112,2018,q2,432,578829.1795229593
andaman & nicobar islands,744202,2018,q2,405,626523.9803147907
andaman & nicobar islands,744302,2018,q2,291,1026590.0735863491
andaman & nicobar islands,744101,2018,q3,3462,10833893.444488766
andaman & nicobar islands,744103,2018,q3,3182,10184154.358592123
andaman & nicobar islands,744102,2018,q3,2224,10365275.479700703
andaman & nicobar islands,744105,2018,q3,1613,5152534.080403434
andaman & nicobar islands,744104,2018,q3,1029,2588077.6866583927
andaman & nicobar islands,744301,2018,q3,975,4256576.349618757
andaman & nicobar islands,744112,2018,q3,579,1145815.7801705198
andaman & nicobar islands,744107,2018,q3,547,1492405.302862124
andaman & nicobar islands,744302,2018,q3,417,1976781.9199490356
andaman & nicobar islands,744202,2018,q3,341,2099404.0789861116
andaman & nicobar islands,744101,2018,q4,4674,16392855.280625317
andaman & nicobar islands,744103,2018,q4,4576,17022520.257624768
andaman & nicobar islands,744102,2018,q4,3306,17019977.183053624
andaman & nicobar islands,744105,2018,q4,2513,9935282.832151461
andaman & nicobar islands,744104,2018,q4,1432,6091757.917089159
andaman & nicobar islands,744211,2018,q4,1225,3451359.606027063
andaman & nicobar islands,744301,2018,q4,928,4606293.657525641
andaman & nicobar islands,744112,2018,q4,759,2208675.0435713646
andaman & nicobar islands,744107,2018,q4,747,1825659.5128978956
andaman & nicobar islands,744202,2018,q4,702,3797054.1677634423
andaman & nicobar islands,744103,2019,q1,5742,19401964.77965755
andaman & nicobar islands,744101,2019,q1,5156,15501306.227195919
andaman & nicobar islands,744102,2019,q1,3925,16683547.094795756
andaman & nicobar islands,744105,2019,q1,3553,11588669.48032856
andaman & nicobar islands,744104,2019,q1,2833,9141657.219605077
andaman & nicobar islands,744211,2019,q1,1511,5794838.401831552
andaman & nicobar islands,744202,2019,q1,1112,3613381.294736007
andaman & nicobar islands,744107,2019,q1,1029,3592930.2975779255
andaman & nicobar islands,744301,2019,q1,920,4652963.41114777
andaman & nicobar islands,744112,2019,q1,802,1893718.6537822199
andaman & nicobar islands,744104,2019,q2,6142,15625676.560883244
andaman & nicobar islands,744103,2019,q2,5847,23751450.067206983
andaman & nicobar islands,744101,2019,q2,4863,19061125.41121897
andaman & nicobar islands,744102,2019,q2,4120,18948733.987097777
andaman & nicobar islands,744105,2019,q2,3500,13418692.199162653
andaman & nicobar islands,744202,2019,q2,1153,3619993.3910789257
andaman & nicobar islands,744107,2019,q2,1124,2967445.3902032813
andaman & nicobar islands,744211,2019,q2,1047,3168331.9917352106
andaman & nicobar islands,744301,2019,q2,1007,4849284.51925976
andaman & nicobar islands,744112,2019,q2,763,2928099.608406143
andaman & nicobar islands,744103,2019,q3,5680,19906337.014255583
andaman & nicobar islands,744101,2019,q3,5606,18745152.093515635
andaman & nicobar islands,744104,2019,q3,4786,15754793.354826454
andaman & nicobar islands,744102,2019,q3,3643,14572605.602745283
andaman & nicobar islands,744105,2019,q3,3512,11767223.99688773
andaman & nicobar islands,744202,2019,q3,1417,3875602.0982028744
andaman & nicobar islands,744301,2019,q3,1402,6195496.621729916
andaman & nicobar islands,744211,2019,q3,1118,2983697.449378184
andaman & nicobar islands,744107,2019,q3,914,1988299.759710987
andaman & nicobar islands,744112,2019,q3,833,2198831.6919406196
andaman & nicobar islands,744104,2019,q4,6633,20626642.701508522
andaman & nicobar islands,744101,2019,q4,5282,23247752.473849062
andaman & nicobar islands,744103,2019,q4,4840,19792507.955761045
andaman & nicobar islands,744105,2019,q4,3528,15302141.17488026
andaman & nicobar islands,744102,2019,q4,3237,15350444.97320769
andaman & nicobar islands,744202,2019,q4,1783,5800016.5561128855
andaman & nicobar islands,744211,2019,q4,1596,7908264.721918669
andaman & nicobar islands,744301,2019,q4,1549,7056478.928838715
andaman & nicobar islands,744201,2019,q4,886,946768.0636478986
andaman & nicobar islands,744107,2019,q4,777,3030368.911900454
andaman & nicobar islands,744101,2020,q1,11793,58229349.02415232
andaman & nicobar islands,744103,2020,q1,5870,22009443.073053975
andaman & nicobar islands,744105,2020,q1,4635,16774043.311987936
andaman & nicobar islands,744102,2020,q1,3820,14517706.12269676
andaman & nicobar islands,744211,2020,q1,1837,8425387.79004211
andaman & nicobar islands,744301,2020,q1,1819,6901162.107519586
andaman & nicobar islands,744202,2020,q1,1794,5037742.395579022
andaman & nicobar islands,744104,2020,q1,1302,5293130.290633954
andaman & nicobar islands,744201,2020,q1,1157,1242638.821252932
andaman & nicobar islands,744107,2020,q1,1043,2990354.4448547475
andaman & nicobar islands,744101,2020,q2,11868,48293323.21851964
andaman & nicobar islands,744103,2020,q2,10035,26197535.98945152
andaman & nicobar islands,744105,2020,q2,9341,23203019.858980607
andaman & nicobar islands,744102,2020,q2,6012,17786750.907515876
andaman & nicobar islands,744202,2020,q2,3722,8924121.010762567
andaman & nicobar islands,744107,2020,q2,2555,3980470.6853698147
andaman & nicobar islands,744301,2020,q2,2275,9055232.527755566
andaman & nicobar islands,744211,2020,q2,2045,3319717.6328789736
andaman & nicobar islands,744205,2020,q2,1847,4459064.90732021
andaman & nicobar islands,744104,2020,q2,1840,3334591.822304932
andaman & nicobar islands,744101,2020,q3,24386,100439119.66860783
andaman & nicobar islands,744103,2020,q3,21272,60332278.69396809
andaman & nicobar islands,744105,2020,q3,17166,44061506.56273589
andaman & nicobar islands,744102,2020,q3,13934,43077189.842844136
andaman & nicobar islands,744202,2020,q3,5779,11975748.707876923
andaman & nicobar islands,744107,2020,q3,4753,7628018.669464628
andaman & nicobar islands,744104,2020,q3,3468,7353834.51320935
andaman & nicobar islands,744112,2020,q3,3422,6067986.696111794
andaman & nicobar islands,744301,2020,q3,3071,13352610.531559702
andaman & nicobar islands,744205,2020,q3,2991,7535645.788593667
andaman & nicobar islands,744103,2020,q4,46884,138264791.5489212
andaman & nicobar islands,744101,2020,q4,40392,136401368.02166596
andaman & nicobar islands,744105,2020,q4,34410,87838226.93633425
andaman & nicobar islands,744102,2020,q4,26694,76348598.32238364
andaman & nicobar islands,744202,2020,q4,10949,25543799.074759968
andaman & nicobar islands,744107,2020,q4,9743,18083250.19055397
andaman & nicobar islands,744104,2020,q4,7654,19126095.533284884
andaman & nicobar islands,744112,2020,q4,7016,15890275.050448488
