state,pincode,year,quater,registered_user
andaman & nicobar islands,744103,2018,q1,1608
andaman & nicobar islands,744101,2018,q1,1108
andaman & nicobar islands,744105,2018,q1,1075
andaman & nicobar islands,744102,2018,q1,1006
andaman & nicobar islands,744104,2018,q1,272
andaman & nicobar islands,744202,2018,q1,237
andaman & nicobar islands,744112,2018,q1,215
andaman & nicobar islands,744301,2018,q1,207
andaman & nicobar islands,744107,2018,q1,196
andaman & nicobar islands,744211,2018,q1,156
andaman & nicobar islands,744103,2018,q2,2188
andaman & nicobar islands,744101,2018,q2,1521
andaman & nicobar islands,744105,2018,q2,1492
andaman & nicobar islands,744102,2018,q2,1419
andaman & nicobar islands,744104,2018,q2,396
andaman & nicobar islands,744202,2018,q2,343
andaman & nicobar islands,744112,2018,q2,299
andaman & nicobar islands,744107,2018,q2,293
andaman & nicobar islands,744301,2018,q2,273
andaman & nicobar islands,744211,2018,q2,240
andaman & nicobar islands,744103,2018,q3,2741
andaman & nicobar islands,744101,2018,q3,1978
andaman & nicobar islands,744105,2018,q3,1935
andaman & nicobar islands,744102,2018,q3,1803
andaman & nicobar islands,744104,2018,q3,507
andaman & nicobar islands,744202,2018,q3,446
andaman & nicobar islands,744112,2018,q3,388
andaman & nicobar islands,744107,2018,q3,384
andaman & nicobar islands,744301,2018,q3,372
andaman & nicobar islands,744211,2018,q3,327
andaman & nicobar islands,744103,2018,q4,3373
andaman & nicobar islands,744101,2018,q4,2498
andaman & nicobar islands,744105,2018,q4,2416
andaman & nicobar islands,744102,2018,q4,2231
andaman & nicobar islands,744104,2018,q4,634
andaman & nicobar islands,744202,2018,q4,554
andaman & nicobar islands,744107,2018,q4,548
andaman & nicobar islands,744112,2018,q4,496
andaman & nicobar islands,744211,2018,q4,433
andaman & nicobar islands,744301,2018,q4,425
andaman & nicobar islands,744103,2019,q1,4136
andaman & nicobar islands,744101,2019,q1,3030
andaman & nicobar islands,744105,2019,q1,2994
andaman & nicobar islands,744102,2019,q1,2667
andaman & nicobar islands,744104,2019,q1,756
andaman & nicobar islands,744202,2019,q1,753
andaman & nicobar islands,744107,2019,q1,667
andaman & nicobar islands,744112,2019,q1,585
andaman & nicobar islands,744211,2019,q1,524
andaman & nicobar islands,744301,2019,q1,488
andaman & nicobar islands,744103,2019,q2,4748
andaman & nicobar islands,744101,2019,q2,3631
andaman & nicobar islands,744105,2019,q2,3547
andaman & nicobar islands,744102,2019,q2,3008
andaman & nicobar islands,744202,2019,q2,885
andaman & nicobar islands,744104,2019,q2,878
andaman & nicobar islands,744107,2019,q2,787
andaman & nicobar islands,744112,2019,q2,672
andaman & nicobar islands,744211,2019,q2,633
andaman & nicobar islands,744301,2019,q2,534
andaman & nicobar islands,744103,2019,q3,5218
andaman & nicobar islands,744101,2019,q3,4026
andaman & nicobar islands,744105,2019,q3,3920
andaman & nicobar islands,744102,2019,q3,3250
andaman & nicobar islands,744202,2019,q3,982
andaman & nicobar islands,744104,2019,q3,975
andaman & nicobar islands,744107,2019,q3,885
andaman & nicobar islands,744112,2019,q3,765
andaman & nicobar islands,744211,2019,q3,701
andaman & nicobar islands,744301,2019,q3,575
andaman & nicobar islands,744103,2019,q4,5637
andaman & nicobar islands,744101,2019,q4,4321
andaman & nicobar islands,744105,2019,q4,4277
andaman & nicobar islands,744102,2019,q4,3485
andaman & nicobar islands,744202,2019,q4,1087
andaman & nicobar islands,744104,2019,q4,1062
andaman & nicobar islands,744107,2019,q4,953
andaman & nicobar islands,744112,2019,q4,812
andaman & nicobar islands,744211,2019,q4,783
andaman & nicobar islands,744301,2019,q4,611
andaman & nicobar islands,744103,2020,q1,6108
andaman & nicobar islands,744101,2020,q1,4689
andaman & nicobar islands,744105,2020,q1,4684
andaman & nicobar islands,744102,2020,q1,3727
andaman & nicobar islands,744202,2020,q1,1216
andaman & nicobar islands,744104,2020,q1,1154
andaman & nicobar islands,744107,2020,q1,1062
andaman & nicobar islands,744112,2020,q1,889
andaman & nicobar islands,744211,2020,q1,886
andaman & nicobar islands,744301,2020,q1,669
andaman & nicobar islands,744103,2020,q2,6804
andaman & nicobar islands,744105,2020,q2,5479
andaman & nicobar islands,744101,2020,q2,5365
andaman & nicobar islands,744102,2020,q2,4066
andaman & nicobar islands,744202,2020,q2,1475
andaman & nicobar islands,744104,2020,q2,1333
andaman & nicobar islands,744107,2020,q2,1252
andaman & nicobar islands,744112,2020,q2,1039
andaman & nicobar islands,744211,2020,q2,1036
andaman & nicobar islands,744205,2020,q2,806
andaman & nicobar islands,744103,2020,q3,8318
andaman & nicobar islands,744105,2020,q3,7007
andaman & nicobar islands,744101,2020,q3,6881
andaman & nicobar islands,744102,2020,q3,4919
andaman & nicobar islands,744202,2020,q3,1965
andaman & nicobar islands,744104,2020,q3,1718
andaman & nicobar islands,744107,2020,q3,1710
andaman & nicobar islands,744112,2020,q3,1372
andaman & nicobar islands,744211,2020,q3,1279
andaman & nicobar islands,744205,2020,q3,1008
andaman & nicobar islands,744103,2020,q4,10408
andaman & nicobar islands,744105,2020,q4,8962
andaman & nicobar islands,744101,2020,q4,8593
andaman & nicobar islands,744102,2020,q4,5882
andaman & nicobar islands,744202,2020,q4,2711
andaman & nicobar islands,744107,2020,q4,2346
andaman & nicobar islands,744104,2020,q4,2167
andaman & nicobar islands,744112,2020,q4,1761
andaman & nicobar islands,744211,2020,q4,1579
andaman & nicobar islands,744205,2020,q4,1346
andaman & nicobar islands,744103,2021,q1,11416
andaman & nicobar islands,744105,2021,q1,9934
andaman & nicobar islands,744101,2021,q1,9457
andaman & nicobar islands,744102,2021,q1,6395
andaman & nicobar islands,744202,2021,q1,3005
andaman & nicobar islands,744107,2021,q1,2586
andaman & nicobar islands,744104,2021,q1,2383
andaman & nicobar islands,744112,2021,q1,1940
andaman & nicobar islands,744211,2021,q1,1774
andaman & nicobar islands,744205,2021,q1,1505
